Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_1.raw	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
P04114	P04114		APOB		23095.2	188688	186233	22702.3						160753		239535		154756		153059	170819	177578	119198	150425
P04150	P04150		NR3C1		36747.6	86287.7	80378.2	23666.3								59159.8		34776		44680.4	54578.1		33424.2	
P04156	P04156		PRNP		46927.4	179920	205553	53718.4																
P04179	P04179		SOD2		41400.3	609176	654934	36665.7		75917.1		49129	20048.1	763090		875856	49784.9	835083	81629.7	786480	766580	849606	819542	839416
P04180	P04180		LCAT			25294	26185.3																	
P04181	P04181		OAT		1.61481e+06	244217	256940	1.43534e+06	1.67247e+06	1.61414e+06	1.47409e+06	1.41127e+06	1.69363e+06	374600	1.52872e+06	1.05258e+06	1.53026e+06	442092	1.67056e+06	369614	794343	523641	823045	356537
P04183	P04183		TK1		1.30871e+06	432190	456803	1.59425e+06	1.61342e+06	1.54757e+06	1.66364e+06	1.60636e+06	1.56021e+06	511359	1.69445e+06		1.58168e+06	433265	1.54767e+06	253441	554890	476306	383450	365687
P04264	P04264		KRT1					12415.4										23333.6						
P04350	P04350		TUBB4A		1.37731e+07	6.83556e+06	4.08149e+06	8.94854e+06	1.37305e+07	1.26533e+07	1.16379e+07	1.25939e+07	1.19167e+07	8.44921e+06	1.13758e+07	7.57995e+06	1.23237e+07	7.6609e+06	1.17166e+07	7.45358e+06	8.37996e+06	8.45371e+06	8.87858e+06	8.76783e+06
P04406	P04406		GAPDH		2.04331e+07	2.4828e+07	1.62405e+07	1.26173e+07	2.56429e+07	2.40864e+07	2.30233e+07	2.40215e+07	2.35677e+07	5.09292e+07	2.03243e+07	4.77782e+07	2.27734e+07	4.8301e+07	2.22423e+07	4.39005e+07	4.79394e+07	5.06778e+07	4.52022e+07	4.80602e+07
P04424	P04424		ASL		86844.1	43453.1	53315.7	91190.3	143399	108999	77497.8	121759	126005				107907		111916					
P04439	P04439		HLA-A			456112	431367							412255		415732		426206		422659	454769	398839	392693	457397
P04632	P04632		CAPNS1		831368	792503	705362	701696	675820	704294	612867	579116	726923	560093	736979	733757	664248	749604	686199	697749	701087	619854	715598	646009
P04732	P04732		MT1E			42305.5	39728.6									18121.4								48884.7
P04745	P04745		AMY1A			23270.8	23457.5																	
P04792	P04792		HSPB1		1.99046e+06	1.75197e+06	1.77074e+06	1.83277e+06	2.28741e+06	2.54958e+06	2.44572e+06	2.26554e+06	2.45316e+06	2.1921e+06	2.39819e+06	2.11757e+06	2.47519e+06	2.20465e+06	2.4523e+06	2.06578e+06	2.0584e+06	2.13621e+06	1.95574e+06	2.07142e+06
P04818	P04818		TYMS		835341	173523	168532	884764	825693	912648	862629	845038	837909	291629	874860	206375	849988	246133	880207	263950	578307		229443	237959
P04843	P04843		RPN1		91433.5	968046	924347	85805.4	102203	68611.6	87959.4	61052.6	88044.6	961069	67364.7	935276	97987.9	959547	85829.9	900984	956151	974586	975348	937470
P04844	P04844		RPN2		100334	744856	756108	125962			69530.7	202648		675200	66601.2	688406	107045	626545	63361.1	697217	681623	666229	723081	754761
P04899	P04899		GNAI2		50363.8	95762.6	78927.1	47688.3	27660.8					131141		175934		177827		238882	127631	90800.9	87959.1	109834
P04920	P04920		SLC4A2		24086.2	55569.9	71605.6	22753.9			110374		55741.2	45444.3				40085.4		58760.2		76200.5		
P05023	P05023		ATP1A1		1.68809e+06	2.35174e+06	2.24442e+06	1.69329e+06	1.79476e+06	1.90144e+06	1.75684e+06	1.82396e+06	1.84869e+06	2.23817e+06	1.72737e+06	2.29535e+06	1.76408e+06	2.32052e+06	1.73117e+06	2.30165e+06	2.21923e+06	2.34838e+06	2.23808e+06	2.26383e+06
P05026	P05026		ATP1B1			295709	267791							255609		249380		199014		212741	268242	168747	253622	248427
P05062	P05062		ALDOB			48838.6	53385.5																	35597.1
P05067	P05067		APP			8885.92	8803.3																	
P05091	P05091		ALDH2		336425	118047	145118	405078	580553	597509	573392	561706	604411	503238	505468		609037	301681	650614			445426		
P05114	P05114		HMGN1		1.11765e+06	1.14274e+06	1.17133e+06	1.05788e+06	857708	846123	820674	851644	820342	876858	862288	897848	829886	843128	852521	812163	872160	855102	799459	857362
P05141	P05141		SLC25A5		6.41802e+06	1.24237e+07	1.13456e+07	5.85501e+06	6.6918e+06	6.4308e+06	6.62622e+06	6.69922e+06	6.34176e+06	1.20501e+07	6.67299e+06	1.21976e+07	6.6104e+06	1.26299e+07	6.52579e+06	1.34791e+07	1.29006e+07	1.26051e+07	1.33032e+07	1.33394e+07
P05155	P05155		SERPING1		17558.5	280016	299006	23146.9														67173.1		77540.3
P05156	P05156		CFI		4609.91			7473.69																
P05161	P05161		ISG15		89871.8	159278	173877	73539.1	91367.1	124005	99068.1	98780.1	132145	172219	99967.2	142117	97610.3	166770	106022	145746	152694	191505	198976	184317
P05165	P05165		PCCA		34913.5	52083.8	54462.3	38047.6																
P05166	P05166		PCCB		15723	14550.2	12367	15536.8									22605.1							13475.2
P05198	P05198		EIF2S1		1.29466e+06	2.12044e+06	2.01749e+06	1.32584e+06	1.34445e+06	1.35966e+06	1.36568e+06	1.3531e+06	1.33511e+06	1.86865e+06	1.35455e+06	1.9033e+06	1.3888e+06	1.94654e+06	1.37298e+06	2.03074e+06	1.92057e+06	2.0232e+06	1.99281e+06	1.99234e+06
P05204	P05204		HMGN2		1.35836e+06	1.9988e+06	2.03477e+06	1.18565e+06	1.11953e+06	1.11392e+06	1.09906e+06	1.18633e+06	1.09638e+06	1.56453e+06	1.19187e+06	1.61355e+06	1.11008e+06	1.7786e+06	1.08294e+06	1.43001e+06	1.67166e+06	1.56769e+06	1.50869e+06	1.52011e+06
P05362	P05362		ICAM1		47868.7	82268.8	80381.5	50472.5		50287.5	39272.8	63062.7		80104.2	44650.8	65579.3		70857.4		54098.1	90338.7	81592.8	64813.4	65308
P05386	P05386		RPLP1		39304.4	3854.7			97229.8	110756		68083.4	129705											
P05387	P05387		RPLP2		3.00037e+06	2.23774e+06	1.90969e+06	2.97384e+06	5.44141e+06	5.361e+06	5.23123e+06	5.38522e+06	5.27393e+06	7.04118e+06	4.96773e+06	6.06765e+06	5.14907e+06	7.14784e+06	4.84084e+06	6.30573e+06	6.32077e+06	6.95393e+06	5.49621e+06	6.27613e+06
P05423	P05423		POLR3D		47287.9	51131.6	53413.6	66757.5	78323.3	92038.9	76459.7	74155.5	80485.6	30870.9	71207.3	17057.9	99170.2		83225.2				21095.2	
P05455	P05455		SSB		2.20582e+06	655968	678975	2.2812e+06	2.27833e+06	2.08768e+06	2.19202e+06	2.0514e+06	2.19627e+06	607002	2.22638e+06	643015	2.2815e+06	622434	2.3033e+06	599509	621176	635966	615123	617769
P05496	P05496		ATP5MC1		44455.4	279275	261349	40632.9								191492		181101		192287	178686	188221	176718	162691
P05543	P05543		SERPINA7			232381	187699							165206		143677		143107		123441	130433	146716	130430	174081
P05546	P05546		SERPIND1		39720.2	1.13676e+06	1.10331e+06	55691.5						1.44621e+06		1.12382e+06		1.14135e+06		1.51615e+06	1.18053e+06	1.66553e+06	2.07433e+06	1.16566e+06
P05549	P05549		TFAP2A			75913.8	68912.3																	
P05556	P05556		ITGB1		69397.2	544919	561933	64339.1	112916		265134	99333.4	138632	535653	127941	549928		540977	103854	565586	575012	593051	607899	570867
P05771	P05771		PRKCB		386642	71373.6	91126.3	446019	327212	307215	433209	341484	303072		461908		413494		440899				31870.4	
P05783	P05783		KRT18		1.57375e+06	1.80647e+07	1.86137e+07	1.63366e+06	2.33268e+06	2.39045e+06	1.91624e+06	2.32906e+06	2.40233e+06	1.93447e+07	1.98059e+06	1.98973e+07	2.32633e+06	2.03016e+07	2.109e+06	1.84918e+07	2.03665e+07	2.15897e+07	2.07712e+07	2.05659e+07
P05787	P05787		KRT8		2.65339e+06	2.14827e+07	1.98219e+07	2.53468e+06	2.81838e+06	2.73379e+06	2.75672e+06	2.83506e+06	2.80883e+06	2.04801e+07	2.78192e+06	2.06008e+07	2.76372e+06	2.01698e+07	2.87879e+06	2.04247e+07	2.04792e+07	2.00182e+07	2.08455e+07	2.04448e+07
P05937	P05937		CALB1		93911.2			133886	137336	138921	128349	112455	131153		108598		114033		125219					
P06132	P06132		UROD		711187	255593	283464	823776	826287	805098	747994	695013	805420	265856	778189	434919	758355	379188	712319	480291	309272	343662	365718	352072
P06280	P06280		GLA		38630.1	69554.9	68823.2	31553.3		106846				121080		102488		65442.6		72581.4	77205.5	85894.7	89973.3	
P06396	P06396		GSN		228097	1.03547e+06	999776	236619	406007	349835	383680	379587	370317	1.1597e+06	397345	1.17909e+06	402205	1.1541e+06	366975	1.16534e+06	1.19432e+06	1.20153e+06	1.20217e+06	1.16418e+06
P06400	P06400		RB1		43846.4	18829.9	25426.7	42096.3		50022.5														
P06454	P06454		PTMA		3.75988e+07	3.20131e+07	3.34949e+07	3.27337e+07	1.81971e+07	1.62896e+07	1.69286e+07	1.55209e+07	1.61294e+07	1.21441e+07	1.68977e+07	1.19139e+07	1.56981e+07	1.28208e+07	1.66396e+07	9.48442e+06	1.12536e+07	1.211e+07	1.1355e+07	1.09481e+07
P06493	P06493		CDK1		2.55003e+06	960518	1.06573e+06	2.44166e+06	2.52888e+06	2.60616e+06	2.44389e+06	2.5194e+06	2.56012e+06	1.07374e+06	2.50743e+06	1.13233e+06	2.50512e+06	1.07651e+06	2.50575e+06	1.09457e+06	1.00643e+06	1.22128e+06	1.1417e+06	979112
P06576	P06576		ATP5F1B		3.41501e+06	3.56355e+06	2.69922e+06	2.27834e+06	4.1672e+06	4.21432e+06	3.86656e+06	4.30486e+06	4.41377e+06	5.85698e+06	3.45137e+06	5.99376e+06	3.5638e+06	5.99852e+06	3.20382e+06	6.12736e+06	5.01874e+06	5.84967e+06	5.30312e+06	5.13848e+06
P06703	P06703		S100A6		153246	3.39012e+07	3.02604e+07	197314	639296	607757	617753		594564	3.70109e+07		3.54505e+07	586091	3.31452e+07	710872	3.26412e+07	3.57967e+07	3.71564e+07	3.4789e+07	3.70757e+07
P06730	P06730		EIF4E		437168	266165	279641	461296	358503	390588	380518	370193	360670	199890	366091	204320	365417	198792	318520	227676	218156	184233	219970	198897
P06732	P06732		CKM						888398	856331	874322	907540	847157		922716	91344.9	872699		872164	102236	114768			120416
P06733	P06733		ENO1		1.57538e+07	1.27009e+07	1.0151e+07	9.96664e+06	1.54277e+07	1.41732e+07	1.24219e+07	1.44945e+07	1.44844e+07	1.59727e+07	1.29765e+07	1.51443e+07	1.40718e+07	1.58025e+07	1.34166e+07	1.52741e+07	1.53789e+07	1.68274e+07	1.5523e+07	1.56261e+07
P06737	P06737		PYGL		70407.4	481703	482394	59464.2		130004	95579.4	107685	117324	508767	190976	482383	81035.8	482673		468340	448828	473566	490157	456113
P06744	P06744		GPI		3.58792e+06	2.85243e+06	2.91439e+06	3.38631e+06	3.60787e+06	3.55798e+06	3.69222e+06	3.40528e+06	3.707e+06	3.10564e+06	3.55406e+06	3.06253e+06	3.67201e+06	3.02822e+06	3.62118e+06	2.98486e+06	3.19403e+06	3.13689e+06	3.03909e+06	3.03686e+06
P06746	P06746		POLB		130385	126809	122591	148780	37143.4	69557.6			37976.1				38724.9		54054.2				63024.2	
P06748	P06748		NPM1		2.10081e+07	1.64348e+07	1.58817e+07	1.92747e+07	1.7563e+07	1.75368e+07	1.65026e+07	1.75551e+07	1.66903e+07	1.41718e+07	1.66007e+07	1.37222e+07	1.61682e+07	1.41487e+07	1.65081e+07	1.34395e+07	1.31588e+07	1.30462e+07	1.31378e+07	1.33813e+07
P06753	P06753		TPM3		1.80917e+06	2.48744e+06	2.66848e+06	1.4804e+06	3.09476e+06	2.7596e+06	3.03531e+06	2.77011e+06	2.48175e+06	2.16111e+06	3.09294e+06	2.1962e+06	3.01766e+06	2.22352e+06	3.05829e+06	2.03489e+06	2.48265e+06	2.40887e+06	2.35772e+06	2.44684e+06
P06756	P06756		ITGAV		12315.3	54577.9	49739	13031.3												281541	253056	291623		
P06865	P06865		HEXA		149241	312939	323061	165734			158601			456042	158211	422461	125822	398878	220770	283612	389563	412441	431724	345573
P07099	P07099		EPHX1			411978	399345	40734.2						550525		595608		587090		616459	634068	486244	617446	573956
P07108	P07108		DBI		152642	232460	148362	110125	289961	415506	154034	411210	427221	427857	200542	402055	210999	464218	185194	495438	371929	387116	381958	363305
P07195	P07195		LDHB		9.69974e+06	8.82604e+06	7.91094e+06	8.35367e+06	1.08484e+07	1.00758e+07	1.02358e+07	1.04036e+07	1.01392e+07	9.39274e+06	1.04482e+07	9.12906e+06	1.07329e+07	1.00075e+07	1.06607e+07	9.16194e+06	9.78695e+06	1.03089e+07	9.84807e+06	9.59881e+06
P07199	P07199		CENPB		35959.7	21925.6	20205.9	30067.5		45176.8							35639.9							
P07203	P07203		GPX1			672419	642858	49124						644870		640885		652279		640099	658142	625308	627152	654827
P07205	P07205		PGK2		887426	1.4181e+06	2.74744e+06	1.73119e+06																
P07225	P07225		PROS1			28283.8	28779.1																	
P07237	P07237		P4HB		1.12408e+06	2.43985e+06	2.26025e+06	985488	1.10751e+06	1.10865e+06	1.09581e+06	1.12193e+06	990298	2.09298e+06	1.11276e+06	2.26639e+06	1.07155e+06	2.23598e+06	1.12088e+06	2.14054e+06	2.23873e+06	2.09122e+06	2.29117e+06	2.23492e+06
P07305	P07305		H1-0			535721	625922							667462		768622		695694		725098	697480	779917	772804	845981
P07311	P07311		ACYP1		229752	166264	156210	233580	236056	228739	241148	240347	258077		248495	292969	323303				388787			219426
P07339	P07339		CTSD		615289	652041	795845	469533	835954	769537	797247	760873	773972	955901	783069	843995	791402	901049	789522	873559	977032	944095	948871	923103
P07355	P07355		ANXA2		2.54834e+06	1.40647e+07	1.35582e+07	2.30254e+06	2.40198e+06	2.25818e+06	2.30272e+06	2.30263e+06	2.18591e+06	1.11081e+07	2.24276e+06	1.17438e+07	2.30418e+06	1.16929e+07	2.26969e+06	1.14372e+07	1.13908e+07	1.17556e+07	1.09601e+07	1.14683e+07
P07358	P07358		C8B		45800.6	76643.8	75246.8	33533.3				29812.3				33049.7							39727.8	
P07384	P07384		CAPN1		678049	465288	465081	655096	719564	740477	728413	763395	742441	472479	710212	498721	707405	473530	710926	495151	483266	512969	536863	528237
P07437	P07437		TUBB		7.12043e+06	2.89712e+06	5.84902e+06	4.16247e+06	7.63375e+06	9.54265e+06	7.27796e+06	6.37171e+06	9.98219e+06	4.50528e+06	7.17237e+06	4.05885e+06	5.63556e+06	6.05585e+06	3.95881e+06	4.64214e+06	4.69537e+06	4.4586e+06	3.6552e+06	4.92046e+06
P07602	P07602		PSAP		1.15177e+06	3.11762e+06	2.83674e+06	1.06899e+06	1.2373e+06	1.2524e+06	1.23677e+06	1.2305e+06	1.35588e+06	2.90621e+06	1.21358e+06	2.6087e+06	1.34082e+06	2.69224e+06	1.29284e+06	2.85937e+06	2.93606e+06	2.82772e+06	2.95719e+06	2.75354e+06
P07686	P07686		HEXB		223263	361743	367440	244656	247941	221790	225743	200109	241914	251910	253390	291843	223940	245228	246333	249740	259865	287107	273996	316417
P07711	P07711		CTSL		32646.1	34611.8	29427.6	38787														147209		
P07737	P07737		PFN1		1.00467e+07	1.13084e+07	1.09467e+07	8.91154e+06	7.35513e+06	6.78158e+06	7.50174e+06	7.20303e+06	6.67375e+06	7.12002e+06	7.81646e+06	6.64143e+06	7.4046e+06	7.35987e+06	7.52368e+06	6.67524e+06	8.21073e+06	7.86384e+06	8.42285e+06	8.15926e+06
P07738	P07738		BPGM		12817.7	9077.63	9256.38	17118.2																
P07741	P07741		APRT		1.05598e+06	919489	841014	995214	992714	1.01408e+06	976977	1.03369e+06	1.02339e+06	920917	978588	975787	957310	847442	984912	874340	912665	851706	914669	892885
P07814	P07814		EPRS1		1.453e+06	1.20105e+06	1.15399e+06	1.39294e+06	1.66451e+06	1.64571e+06	1.64076e+06	1.65221e+06	1.72096e+06	1.34932e+06	1.62576e+06	1.41399e+06	1.61274e+06	1.36684e+06	1.62741e+06	1.37353e+06	1.31891e+06	1.32292e+06	1.34678e+06	1.3694e+06
P07858	P07858		CTSB		154065	121290	132803	159700	121948	92070.8	103664	99013.6	124844	62691.7	120372	60798.3	80876.2		101799	71279.3	90276.1	111975	82764.8	77919.9
P07900	P07900		HSP90AA1		3.7872e+07	1.4316e+07	1.40857e+07	3.47294e+07	2.86965e+07	2.65701e+07	2.6802e+07	2.68093e+07	2.45327e+07	1.01552e+07	2.69328e+07	1.10645e+07	2.54797e+07	1.10742e+07	2.59709e+07	1.01394e+07	1.12616e+07	1.11834e+07	1.1061e+07	1.10783e+07
P07902	P07902		GALT		9687.66	34231.5	34388.5	9801.39																
P07910	P07910		HNRNPC		1.02367e+07	7.92669e+06	7.74884e+06	1.04785e+07	9.99792e+06	9.81619e+06	9.90546e+06	1.05268e+07	9.42163e+06	6.69128e+06	1.02233e+07	7.22459e+06	9.99298e+06	6.62781e+06	1.02421e+07	6.79212e+06	7.03641e+06	6.91316e+06	7.51106e+06	6.95648e+06
P07919	P07919		UQCRH		691170	347373	358404	683815	880339	715823	675294	681193	936231	643476	695225	630778	856380	580721	841033	563495	691981	661680	688281	520896
P07947	P07947		YES1		71976.3	65824.1	62217.7	66100.9	145262	150625	133504	131210	137898	45836.3	133264		144298	68961.2	146750	37209.1			59197.3	48527
P07948	P07948		LYN		86417.4	42200.9	43754.3	79537.3	72373	89147.6	81682.3	87297.6	91457.1		79707.6		92417.9		72124.5			66699	32615.7	
P07951	P07951		TPM2		217604	1.38394e+06	1.22105e+06	408228			417207			1.01093e+06	3.67047e+06	1.20683e+06		1.35938e+06	3.78007e+06	1.25057e+06	1.374e+06	1.3425e+06	1.3397e+06	1.33038e+06
P07954	P07954		FH		1.14394e+06	957737	968250	1.06817e+06	1.33598e+06	1.30432e+06	1.29096e+06	1.30299e+06	1.30883e+06	1.09693e+06	1.34103e+06	1.13339e+06	1.31685e+06	1.22163e+06	1.33841e+06	1.10563e+06	1.16449e+06	1.22621e+06	1.13578e+06	1.14502e+06
P07992	P07992		ERCC1		7333.71	18868	19203.7	8761.98																
P07996	P07996		THBS1		79829.6	211824	220042	78297.9	99512.7	117122	85128.8	92687.3	97721.1	315144	76873.7	323473	86333.9	303523	70851	322004	292736	312951	315950	312622
P08069	P08069		IGF1R			33060.3	34539.7																	
P08133	P08133		ANXA6		38847.3	260229	275801	31448.2	122583	50207		37683.8		395329		333613		374624	60891.1	363534	388107	391512	392017	357089
P08134	P08134		RHOC		74435.4	25644.6	26647.2	68683.6	77074.3	93751.4	82884.7	111240	82968.8	59883.2	99387.4	33678.9	85582.1	51017.1	80399.7	48238	28613.7	35150.7	53205.2	34920.3
P08174	P08174		CD55		69757.4	3.22932e+06	3.13516e+06	83334.9			83670.6	77063.9		3.31888e+06		3.41527e+06	59691.7	3.1998e+06	86166.1	3.3496e+06	3.36018e+06	3.33638e+06	3.25804e+06	3.36173e+06
P08195	P08195		SLC3A2		352687	2.22966e+06	2.04339e+06	333917	476484	467338	460405	469737	454413	2.04445e+06	429168	2.1273e+06	406124	2.14916e+06	435681	2.20586e+06	2.1039e+06	2.02249e+06	2.07084e+06	2.06065e+06
P08236	P08236		GUSB			47994.4	58109	18726.8																
P08237	P08237		PFKM		112818	372142	396944	113887	151098	110481	133776	117787	153255	320463	118253	340220	128673	374807	144210	342116	379375	336985	366623	383288
P08238	P08238		HSP90AB1		3.81615e+07	1.0576e+07	9.16065e+06	2.9219e+07	2.55197e+07	2.42452e+07	2.28958e+07	2.55068e+07	2.30777e+07	6.90367e+06	2.37675e+07	7.04324e+06	2.25824e+07	6.84324e+06	2.356e+07	6.52544e+06	7.56266e+06	6.92436e+06	7.08101e+06	7.28694e+06
P08240	P08240		SRPRA		92655.5	250836	243846	105314			376077	382177		344194	258237	456758		398405		441662	428377	402337	361812	420771
P08243	P08243		ASNS		1.19265e+06	585043	604471	1.47405e+06	1.62186e+06	1.62262e+06	1.62239e+06	1.6585e+06	1.64165e+06	1.00014e+06	1.49985e+06	917064	1.54987e+06	909026	1.50666e+06	1.03434e+06	932518	931275	953824	863720
P08397	P08397		HMBS		1.826e+06	263108	283578	1.86627e+06	2.39731e+06	2.51233e+06	2.50885e+06	2.54049e+06	2.51873e+06	539364	2.3894e+06	442621	2.53465e+06	571962	2.52268e+06	518333	567366	546316	452531	438767
P08559	P08559		PDHA1		278938	775377	801137	280764	269552	249385	281743	234106	267756	763121	280529	772545	314718	739266	325894	695732	765409	743073	787751	772211
P08574	P08574		CYC1		656381	784952	787375	643951	643655	663188	613115	658624	569689	759949	677541	714717	651595	721020	617390	752562	708178	734354	706160	759132
P08575	P08575		PTPRC		884408			757547	605220	656156	620951	637825	603004		554595		509328		551035					
P08579	P08579		SNRPB2		503993	326725	296386	493617	515884	525430	481752	537031	533177	513034	552904	484586	521775	473832	557851	494588	487013	496304	461795	488730
P08581	P08581		MET			57740.4	52652.3																	
P08590	P08590		MYL3		181732	950847	2.02419e+06	78835.4	182535	165533	294469	191071	141807	782592	302010	734032	266724	601085	294898	667937	827513	868190	901051	951556
P08603	P08603		CFH		4818.35	38336.3	32731	4348.48																
P08621	P08621		SNRNP70		2.40839e+06	2.39538e+06	2.29618e+06	2.29922e+06	2.14529e+06	2.10231e+06	2.09269e+06	2.11753e+06	2.06914e+06	2.00323e+06	2.12129e+06	2.02292e+06	2.17629e+06	2.00788e+06	2.11953e+06	1.95663e+06	1.98262e+06	1.9646e+06	1.97089e+06	1.93964e+06
P08648	P08648		ITGA5		76086.2	146127	161901	93003.7						102574							102382	80377.7		
P08651	P08651		NFIC		139099	139457	125029	98184.6						140355		171071		174992		165179	159589	92517.8	172527	174558
P08670	P08670		VIM		7.27502e+06	2.58977e+07	2.58693e+07	6.89716e+06	6.87727e+06	7.05502e+06	6.75863e+06	6.95869e+06	6.9994e+06	2.31784e+07	6.72406e+06	2.37654e+07	6.72306e+06	2.39527e+07	7.00333e+06	2.36238e+07	2.44527e+07	2.36995e+07	2.36264e+07	2.38859e+07
P08697	P08697		SERPINF2		62260.3	392741	515244	69831.1						328284		453245		409137		435053	370094	374240	447684	500907
P08708	P08708		RPS17		1.65251e+06	1.78523e+06	1.79035e+06	1.9689e+06	1.57875e+06	1.61825e+06	1.57713e+06	1.67651e+06	1.54161e+06	1.53081e+06	1.50603e+06	1.62859e+06	1.53973e+06	1.59284e+06	1.66754e+06	1.52477e+06	1.39788e+06	1.3575e+06	1.59916e+06	1.47364e+06
P08727	P08727		KRT19		679878	1.46115e+06	1.50038e+06	622320	755467	698097	669030	705216	691759	1.50375e+06	700040	1.41018e+06	749509	1.42159e+06	707099	1.41478e+06	1.50707e+06	1.53567e+06	1.43062e+06	1.61175e+06
P08729	P08729		KRT7			7.01246e+06	6.82746e+06						46438.6	8.10181e+06		8.27406e+06		8.21571e+06	236724	8.43524e+06	8.28095e+06	8.36072e+06	8.3168e+06	8.149e+06
P08754	P08754		GNAI3		245174	516952	489703	250032	296981	319691	269199	316806	327924	686853	317995	745746	301016	694587	300887	739762	721571	752451	782945	763549
P08758	P08758		ANXA5		570551	3.47067e+06	3.4555e+06	576391	564570	601659	577849	617157	598021	3.10996e+06	594361	3.12398e+06	614578	3.15444e+06	641674	3.39755e+06	3.28898e+06	3.08855e+06	3.4021e+06	3.21437e+06
P08779	P08779		KRT16			54446.3	52320.3																	39429.8
P08865	P08865		RPSA		4.04277e+06	4.2271e+06	4.43575e+06	3.82107e+06	4.10665e+06	4.08997e+06	3.98931e+06	4.01998e+06	3.92207e+06	3.79645e+06	3.90857e+06	3.83912e+06	4.04379e+06	3.51911e+06	4.051e+06	3.93876e+06	3.92279e+06	4.18031e+06	3.85983e+06	4.06421e+06
P08962	P08962		CD63		117267	552691	409816	92305.7	104665	161871	181688	85266.1	88046.9	573335	159167	516418	82791	507817	147148	455336	661202	616881	640892	675212
P09001	P09001		MRPL3		64479.5	81665.4	78718.9	55645.6	58641.4	42863.1	32893	39788.7	41083.4	64415.4	50274.6	60818.6	43309.7	62238.6	53231.4	63067.4	37139.2	47835.9	51399.1	63483.8
