Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
P12081	P12081		HARS		65380.6	69415.8	64733.5	66477.7	63083.9	62160.5	68359.1	72543.7	64502.6	73352.7	73143.7	71130.8	72886.5	68996.1	68041.5	68574.4	73001.3	69630.9	71633.7	72688.5	69420.3	66223.6	71483.7	67715.2		
P12236	P12236		SLC25A6		109374	102858	110233	116771	88114.4	94940.5	109059	122930	102451	128938	138191	145167	131217	128381	134887	135412	134941	133478	136186	132883	100934	94161.1	109858	103290		
P12268	P12268		IMPDH2		346508	348190	355493	347222	370027	368598	363598	320831	353598	318688	323945	318259	319064	311122	333237	306822	311932	309049	310787	315043	308137	295272	313617	315784		
P12270	P12270		TPR		50340.2	55254.7	49314.8	51464.8	49010.3	49027.7	49349.1	54015.8	50361.8	58071.2	57862.6	58003.6	54844.8	55457.7	53612.4	51139.9	54206.1	51380.7	52257.6	54116.5	57218.6	55083.4	56375.3	55982.9		
P12277	P12277		CKB		31384.1	31518.1	35362.4	35435.8	26698.9	29587.6	31281	33957.9	30870.3	34680.4	36538	35184.1	32659.9	33697.5	34488.5	35073.5	35039.8	30999.6	36575.8	32972.2	32945.4	31327.2	30981.8	30481		
P12429	P12429		ANXA3		425736	392047	418809	454067	417043	426148	401483	425169	429169	434667	451373	435084	435108	440944	430993	410340	426659	443068	412220	423092	430443	411198	439595	440011		
P12814	P12814		ACTN1		66279.8	73364.4	67450.7	68270.1	62643.7	63707	64277.8	66208.3	59504.4	71214.6	71539.5	64799.7	62305.1	54210	65132	64125.7	64639.4	63343.9	65455.3	64389.9	76108	78989.4	72838.8	71487.3		
P12956	P12956		XRCC6		249201	250734	247998	240035	251081	246660	251180	242714	252638	237947	235308	224038	234531	232377	234061	235658	229249	228151	230001	222753	242136	241144	234477	240702		
P13010	P13010		XRCC5		257215	252973	254789	267897	246151	270576	267813	270263	265206	280056	254847	261464	267761	282960	269934	269926	269737	266534	276063	255464	246780	241739	248196	244132		
P13073	P13073		COX4I1		100163	95018.9	128578	114330	77391.3	91352.4	112433	83432.9	128316	113667	115663	125059	122392	144209	142174	137660	142385	116243	153906	133126	102592	131939	139618	122267		
P13164	P13164		IFITM1		13860.3	10019.4	12217.4	12788.6	7551.31	7146.04	9584.03	8157.9	10253.8	9225.25	12754.1	15396.6	9153.88	9701.39	8866.4	11945.8	7878.43	7359.12	12812.3	8799.24	10114.4	13256.3	17695.6	12316.1		
P13473	P13473		LAMP2		53658.1	50495.2	47355.7	57050.4	54717.6	58157.4	59507.4	56646.6	59130.4	50140.4	56634.7	52145.7	59538.5	57858.7	57942.5	59813.7	58575.2	58595.6	56366.5	65339.5	63881.7	66634.4	64254.9	68213.8		
P13489	P13489		RNH1		63896.6	58891.6	60865.1	63429.3	62932.1	62519.2	62954.1	72962.6	63310.9	67892.4	64801.9	69023.4	61983.6	62359	63801.8	60076.5	64735.4	63232.9	59474.9	64483	56445.7	60802.1	56739.4	57635.5		
P13639	P13639		EEF2		932512	916482	918257	913911	899140	869820	893661	913809	942060	943338	965311	959846	922373	922008	909351	901229	936604	880341	921750	924680	874345	896019	905404	892990		
P13645	P13645		KRT10		104818	110389	111155	112234	111260	108492	107993	113720	106786	121610	131322	126932	118357	120430	113708	114810	119908	121939	119830	120353	103355	108994	105723	102424		
P13667	P13667		PDIA4		78456	86176.5	82813.5	82165	79353.4	77763.8	76318.6	78541.3	79993.8	80258.1	79754.6	77235.9	80107.3	81219.2	82857.3	81700.6	85739.4	84855.2	81542.7	84076	85662	85282.9	83896.3	78554.5		
P13693	P13693		TPT1		63289.5	62889.8	51273.1		55646.6	49787.5	53404.5	33639.8		45537.1	43328	35201	59633.7	50050.6	49302.7	53813.4	53243.9	48854.4	53313.7	55941.7	65061.5	74424.9	77940.8	69714		
P13797	P13797		PLS3		572156	580901	601516	577194	538226	551046	588189	620724	580081	623460	613224	640253	595543	592906	615742	588386	604832	607066	582071	608558	570982	583545	584775	584626		
P13804	P13804		ETFA		110709	109794	113021	118670	112700	116907	115738	126709	107618	120410	127575	117937	129292	121359	125480	126909	121347	124744	129552	124912	122753	129776	126830	124900		
P14174	P14174		MIF		461344	484506	481493	465802	522160	504240	522180	565337	507260	557741	563785	514286	540693	547125	573479	562630	549225	525782	583109	553627	546505	556916	575326	574642		
P14209	P14209		CD99		43722.6	44331.6	43650.4	42652.5	50605.7	42256.6	46237.5	34939.7	45753.6	34593.8	32331.9	34358.8	34726.7	33286.7	33488.7	27602.5	34038.3	32053.6	32676.8	31496.6	37274.6	31782.1	34866.7	36627.6		
P14314	P14314		PRKCSH		169871	165251	177478	168094	170221	153200	164682	180387	174570	183248	173003	177646	180815	178634	183285	183415	182842	171571	186974	178295	168032	172372	169791	169621		
P14324	P14324		FDPS		139834	134392	147362	140088	140860	140586	133175	98961.4	142167	99309.5	98971.5	105090	107164	93440.9	99551.1	92021.2	94606.8	95068.9	92857.7	97770.2	119385	124301	111830	118798		
P14384	P14384		CPM		7883.65	11307.4	11992.8	11516.7	10663.2	11887.2	13743.8	9869.22	9075.42	11613	11462.2	11558.7	5959.35	9702.9	8615.54	7294.2	5400.22	9983.72	8144.8	9227.97	10528.8	11445.5	10467.3	11201.2		
P14550	P14550		AKR1A1		47230.5	44379.8	47429.5	48086.8	44551.9	44456.4	52432.7	40248.7	45650.4	43735.8	40986.1	40103.2	41473.5	45202.3	41790.3	39275.1	43464.8	44106	45903.6	44842.7	38961.5	39437.4	37064.3	39013.9		
P14618	P14618		PKM		3.80849e+06	3.91154e+06	3.69757e+06	3.72782e+06	3.60033e+06	3.58109e+06	3.79391e+06	3.83253e+06	3.73824e+06	4.05268e+06	3.85915e+06	3.74438e+06	4.0332e+06	3.81537e+06	3.84568e+06	3.8665e+06	3.81262e+06	3.94028e+06	3.85043e+06	3.61408e+06	3.84514e+06	3.92554e+06	3.76663e+06	3.79578e+06		
P14625	P14625		HSP90B1		840261	875098	850704	854012	855535	868402	863509	858015	837564	860774	905319	882823	853623	874405	868898	886878	873906	877081	882989	891404	933278	918719	925438	928500		
P14678	P14678		SNRPB		137792	137577	137827	143421	151053	144473	151532	137456	149185	143196	136301	146345	155740	147967	156137	154016	153096	150163	159910	152358	164385	169668	166692	171542		
P14866	P14866		HNRNPL		143489	143500	148003	151244	126506	135248	137417	124287	139789	131505	129844	124082	129141	131562	126386	138236	132185	136136	138259	141357	144827	135977	140246	140901		
P14868	P14868		DARS1		78492.6	86339.3	77544	82164.4	79659	85968.1	88012.3	92973.9	89244.2	93589	92337.3	90296.8	91692.5	89263.8	95598.8	91284	89110.6	92857.4	97771	98427	103286	100645	100316	101300		
P15121	P15121		AKR1B1		275155	277277	269162	272271	268494	261638	266331	264812	275437	256798	262201	266727	267396	275592	268454	259692	274949	271370	273856	276418	262395	256204	267454	260911		
P15170	P15170		GSPT1		89772	86750.2	87410.4	85230.8	76491.1	80551.3	89723.4	62801.9	81979.5	70211	66750.1	68395.8	84035	85586	87019.7	88170.6	90898.1	88767.8	85891.5	87980.1	78358.4	77869.1	78096.2	78567.4		
P15259	P15259		PGAM2		222349	229741	219936	211498	224954	226490	231735	192298	233218	210703	200423	198779	235731	239368	230435	227216	229870	236417	224255	240521	215455	207812	179235	213732		
P15311	P15311		EZR		73117.7	64192.8	76596.2	95152.3	77238.5	73282.9	66932	45882.6	77023.4	61851.3	63922.7	59011.8	60027.4	69510.3	61843.4	61580.1	65622.6	60245.4	72601.2	49526.4	55451.8	64727	64442.1	61137.6		
P15328	P15328		FOLR1		688200	700160	711225	728173	627972	695308	730081	632971	737841	607586	600563	577059	586959	544753	589351	559597	557857	564836	575243	560508	622616	629286	623119	637988		
P15531	P15531		NME1		816222	820694	814247	829346	917080	901519	863063	918785	876512	905869	898334	903238	855015	866462	879894	869165	853523	878189	876429	866814	982259	949435	920847	970718		
P15880	P15880		RPS2		314656	327680	322131	324562	274870	261768	264492	344519	276681	361237	346919	360936	364499	347971	376241	372277	356683	365353	361869	372242	304582	308099	300840	310231		
P16070	P16070		CD44		93725.7	93148.9	89585.3	91680.6	87727.8	92302	95748	82636.4	94915	88473.2	83903.5	86823.9	82138.3	80521.6	85075.8	83209.7	77760.2	76346.6	81127.8	85373.1	88151.3	89684.9	90702	89633.5		
P16152	P16152		CBR1		130877	132824	129055	136055	121132	122111	129953	124619	139827	138756	134287	131087	132908	116593	121023	121845	123490	109091	124155	109576	133036	134341	131565	134244		
P16401	P16401		H1-5		168331	169649	162510	164567	169549	167764	170627	188801	165239	176871	171290	172999	191393	184205	193491	186445	190853	189340	188066	195906	193347	195317	196517	202918		
P16403	P16403		H1-2		4.55838e+06	4.73129e+06	4.48454e+06	4.70421e+06	4.38005e+06	4.45148e+06	4.50887e+06	4.97032e+06	4.73499e+06	5.21576e+06	5.14068e+06	5.01474e+06	4.94594e+06	4.88072e+06	5.10148e+06	4.99325e+06	4.87712e+06	5.12477e+06	4.9403e+06	5.01681e+06	5.59973e+06	5.46277e+06	5.59253e+06	5.60348e+06		
P16615	P16615		ATP2A2		60396.4	61259.9	67943.9	61234.5	57345	57202	60215.1	60508.4	55436.7	60519.3	60799.4	59068.3	64630.3	64487	65875.6	66177.8	64769.7	62079	73754.1	62823.5	57647.9	62128.9	66581.6	60302		
P16949	P16949		STMN1		142517	141875	134951	147971	136629	135050	150225	131129	143837	130967	130194	127702	141609	134848	135002	136681	142317	144678	132028	136536	118808	111292	119265	112823		
P16989	P16989		YBX3		82698	74165.3	78966.7	82119.9	77989.7	79871.7	69996.5	85512.3	79111.2	89116.5	78745.1	85997.6	77504.2	82316.3	81147.4	80991.7	81358.3	88489.9	86661.9	89817.3	81578.1	76914.9	74870.7	85186.3		
P17096	P17096		HMGA1		154745	150501	155865	145758	155833	156912	158975	249871	165810	243180	242245	239520	235008	236935	239797	223219	233501	232514	244701	246826	281653	262412	270866	264690		
P17174	P17174		GOT1		83188.1	86540	82522	80792.3	82468.5	96868.4	89206.1	75006.6	84500.8	74748.7	76311.6	71308.2	77127.3	76801.1	72864	77652.8	74825.4	78782.4	75738.5	79260.5	82312	85948.9	84543.9	83313		
P17516	P17516		AKR1C4		221452	245051	236845	257568	217972	240934	261734	214435	260682	212391	240188	203683	249125	252092	231946	267118	240279	250938	260524	256978	218959	220566	227633	236772		
P17612	P17612		PRKACA		42470.4	54131.2	45841.6	42814	41991.7	38816.7	51849.9	52477.2	46753.3	54758.6	47420	56846.3	46402.2	53097.6	39269.1	44371.8	43924	44088	47344.3	50374.8	40835.3	38350.5	36672.9	43778.5		
P17812	P17812		CTPS1		42120	45124.3	40581.4	41525.2	47725	45386	44236.6	41131.9	46632.1	41627.5	36465.1	39487	47059.1	43245.6	44789	42408	45464.8	48231.8	44091.7	49744.2	45259.5	46446.8	42831.8	49404.4		
P17844	P17844		DDX5		272661	266340	265867	272640	259156	272552	277733	299271	285489	300899	296492	308844	284314	284991	281234	278740	287196	277304	297318	288869	273704	269471	287517	278723		
P17980	P17980		PSMC3		64349.6	66593.7	70199.7	63388.9	50396.2	57536.1	64937.9	51350.6	63683.6	55015.9	56974.6	57741.4	60227	56654.6	57080.4	53891.7	61727.8	51202.2	62817.7	48831.9	60072.2	58463.5	67287.7	60939.2		
P17987	P17987		TCP1		175410	187305	185301	189859	174612	171855	185426	170362	184137	176477	173432	171146	158274	155128	163663	157195	161453	155836	157130	168436	160289	163486	164319	159958		
P18077	P18077		RPL35A		216167	232908	228819	198606	257308	261391	257337	308080	234323	289717	297793	297893	223833	253408	263743	243137	256148	239512	247965	281025	339068	285879	280617	309368		
P18085	P18085		ARF4		129629	143767	129481	127037	152423	123856	139625	106877	135020	117079	115707	104188	116650	111394	111652	120017	106846	101691	99346.6	105959	111629	102450	104137	110028		
P18124	P18124		RPL7		607634	638831	648482	655128	639266	601360	617122	705896	632893	706978	737419	710249	702990	682798	709939	706829	716491	693985	700408	731221	643842	659308	668062	654634		
P18206	P18206		VCL		200892	191045	202983	204116	186293	183202	191556	178617	195598	174915	184225	182787	195148	193445	193189	198385	195984	188748	197416	193131	183489	183531	195471	182335		
P18583	P18583		SON		7907.85		5861.16	9726.33	6701.21		9692.25	7313.48	8350.47	5458.78	6820.84	8201.12	9143.77		7729.18	7381.57	7296.24	5715.03		4728.49	7456.14	6225.37	4789.1	5665.86		
P18621	P18621		RPL17		292723	297202	295386	262424	264953	244050	260993	258352	272456	283796	281044	282543	278936	275876	286593	282013	275981	290258	301559	283826	308223	257789	271490	259611		
P18754	P18754		RCC1		124818	133191	127200	139676	121273	116334	122077	123584	130975	118274	122205	117566	124058	129178	129651	121263	123491	119996	123647	127288	133831	125204	131478	129408		
P19012	P19012		KRT15		81341.8	66068.6	80618.5	76160.6	43492	49162.9	69207.1		85177.7				72348					70646.6	62003.4		73836.1	86449.6	110833	76487.1		
P19075	P19075		TSPAN8		45433.4	42832.3	51034.2	48924.5	48265	47975.9	48583.3	56683.9	45448.2	55918	56401.1	56738.3	60378.2	55363.4	51512.3	54942.2	54299	52660.3	50828.8	54250	48947.9	52731.9	53048	52264.6		
P19338	P19338		NCL		723731	734448	705510	692423	719985	740689	720880	763890	736533	778614	770178	773531	680055	684709	667344	684034	703704	687787	686495	686736	838298	817528	813935	834050		
P19388	P19388		POLR2E				23088.6		23907.5				20853			25571.8										26579.5		27287.2		
P19623	P19623		SRM		61116	58780.3	66355.8	58703.2	72352.6	64965	68553.3	66183.7	64073.4	75585.1	61457.8	58968.8	54777.5	63830.5	58489.6	56382.8	61192.4	53760.6	57952.9	58020.9	57831.4	56707.3	63056.8	58473.9		
P19823	P19823		ITIH2		509301	493402	515637	510600	507170	499028	522056	496314	520298	478571	497271	509542	550636	534446	539163	518684	517325	531607	530942	533039	477561	475538	481766	469754		
P20042	P20042		EIF2S2		186469	189135	177006	179853	216998	205027	188860	189630	186353	191761	194663	187523	131473	141338	140166	139421	134836	143807	141224	150592	190658	188466	168664	177794		
P20073	P20073		ANXA7		97701.1	105252	105001	103433	146800	123780	103765	72398	142747	79316.7	78329.3	77228.7	85749	85663.3	83330.2	84477	82705.4	81583.2	87336.1	80696.4	78160.9	77495.1	76385.5	76169.8		
P20132	P20132		SDS		1.53694e+06	1.64845e+06	1.83029e+06	1.96316e+06	1.08068e+06	1.20965e+06	1.33654e+06	747931	1.47823e+06	698083	781157	823192	1.53658e+06	2.00109e+06	1.61321e+06	1.69212e+06	2.09477e+06	1.99203e+06	1.88084e+06	2.12396e+06	832776	941863	1.07266e+06	886604		
P20618	P20618		PSMB1		163394	174890	168203	171786	163618	167248	171491	194510	159979	213047	206530	195634	201518	187904	198293	191315	186819	194068	185425	194358	201241	195847	197285	210242		
P20674	P20674		COX5A		139214	162117	150138	163083	150894	149234	161875	202539	151175	189291	197803	194009	205711	191989	192945	185095	191252	194631	184056	192143	172816	149098	169112	170236		
P20700	P20700		LMNB1		193561	197029	199448	203512	191358	193854	192688	196315	201242	199148	201016	197101	202977	201675	203409	208375	209259	209232	206101	203336	191639	191666	195106	194607		
P20930	P20930		FLG		22952.5	25276.8	27027.1	22272.7		16191	20170.5		22259.4				28790.3	25984.3	29910	31608.8	23284.3	33456.8	32260.8	29409.5		11127	11922.3			
P20962	P20962		PTMS		198314	213972	190455	180305	200942	195437	182739	257592	210438	261193	245120	244210	262893	255253	237634	228637	233256	250728	224243	242145	212032	215280	211490	209566		
P21266	P21266		GSTM3		56925.2	60646.4	76051	62105.7	57859.4	53740.2	54306.1	55849	52238.9	66972.7	60307.2	75813.5	79013.9	66949	78336	74033	69022	72676.7	81935.6	65843.9	86751	79773.8	76132	74920		
P21291	P21291		CSRP1		119370	119564	119501	112807	107737	113086	110578	132597	112526	133694	132899	134307	133264	136294	132390	138388	145039	133047	145804	142480	142978	159420	163608	147535		
P21333	P21333		FLNA		227325	223906	227279	234638	221768	224470	233161	235551	232575	242012	240219	240523	246235	243885	247479	248400	250086	242232	253036	243802	240855	243024	240871	245623		
P21796	P21796		VDAC1		140416	142391	145422	144609	147755	158409	160249	199366	143168	207163	203484	194822	196369	186164	187507	188473	195289	185207	192321	190672	181761	178105	179506	181097		
P21926	P21926		CD9		22323.8	21708.7	23282.9	20855.2	22913.9	20114.3	25072.1	32160.9	20935.6	37470.7	35313.3	29596.6	26880.2	26830.3	29564.5	27138.2	27737.3	32037.2	25446.7	31131.8	24297.3	23360.2	25971.3	23046.1		
P22087	P22087		FBL		482775	506923	456714	485450	520652	527334	503517	486126	473290	466116	461467	460146	423933	374992	445202	459228	397086	409610	390697	419146	508214	503808	499545	467222		
P22102	P22102		GART		172619	165715	164079	164052	165830	163300	163791	173796	161224	184579	178562	182385	191226	186397	185844	192722	192220	190708	185603	191215	158829	171003	168141	162210		
P22234	P22234		PAICS		139559	141154	138832	142497	134534	134278	141243	177322	149475	170941	177707	173450	166643	157905	170030	163519	158126	161560	160018	163862	171511	178469	177473	179887		
P22307	P22307		SCP2		69736.9	69903.9	66512.9	69833.5	64815.8	76685.7	74066.7	56951.6	65028.9	53726.6	54109.3	56748.8	58888.8	62455.4	59149.7	56590.7	58998.6	63490.2	57745	58797.1	54412.2	53510.2	57911.1	60150.1		
P22314	P22314		UBA1		291272	312264	296844	289612	312459	304827	296412	303563	290516	304683	308003	291442	309634	295521	304643	302621	292398	299080	300445	306033	307959	300642	297007	298341		
P22392	P22392		NME2		141330	139258	137838	132411	142762	146616	150662	168499	156620	157912	159634	152962	113037	120584	119247	115399	125874	116777	131227	119449	157394	160492	149922	162201		
P22626	P22626		HNRNPA2B1		985662	957738	1.04653e+06	1.00054e+06	958238	974828	952324	1.0559e+06	1.02109e+06	1.1161e+06	1.13744e+06	1.15987e+06	1.00417e+06	1.12055e+06	1.13404e+06	1.12639e+06	1.20417e+06	1.11205e+06	1.18899e+06	1.16274e+06	1.05017e+06	1.14727e+06	1.13254e+06	1.04837e+06		
P23246	P23246		SFPQ		774677	813820	794560	789159	842513	824913	768856	821460	794950	819706	810180	821765	943971	971989	947986	921408	911887	973907	941119	977621	798606	827158	842691	801188		
P23284	P23284		PPIB		548974	538490	531504	511460	587128	573251	548969	587971	556490	591150	585625	551100	631183	618304	621313	601689	617586	620305	626687	620817	611379	620097	593231	611197		
P23381	P23381		WARS1		17462.3	20148	20030.9	20046.7	18535.9	18820	17966.3	25180.9	18033.1	29998	33710.8	30250.6	23222.6	24063.8	22076.6	19751.1	24540.2	21976.5	23212.1	25350.2	19717.8	18913.2	20805.6	21306.4		
P23396	P23396		RPS3		547371	529066	543720	543736	531568	523012	557353	536657	551181	544322	560123	562512	596097	592658	602094	597748	604811	605633	594032	590484	539323	566555	560972	555137		
P23526	P23526		AHCY		172895	169297	167080	162845	160974	165672	176698	149499	172387	159512	151204	155009	176841	174388	174902	175837	171154	161457	183499	177485	181434	188502	189368	190207		
P23528	P23528		CFL1		1.6536e+06	1.71861e+06	1.57251e+06	1.69947e+06	1.48002e+06	1.55563e+06	1.72097e+06	1.55452e+06	1.58023e+06	1.55667e+06	1.47679e+06	1.49938e+06	1.43566e+06	1.43037e+06	1.47711e+06	1.42518e+06	1.38657e+06	1.43158e+06	1.47556e+06	1.41783e+06	1.59608e+06	1.56855e+06	1.62809e+06	1.66636e+06		
P23588	P23588		EIF4B		190523	181537	190107	183330	184477	177526	181548	207940	189587	205436	209717	203599	215460	204178	209977	217517	214600	209790	209369	210209	197339	201671	197786	202258		
P23921	P23921		RRM1		37098.1	35218.8	35662.9	41846.2	33470.9	31933.4	35431	33529.6	31881.8	34398.4	36742.1	41320.8	36418.8	32840.4	32725.1	33144.7	35821.3	30459.1	35777.1	31540.2	30388.5	31820.5	31050.8	31642.6		
P24534	P24534		EEF1B2		264215	253044	275944	282440	265892	262604	256949	254821	276127	246705	242365	220921	256353	251007	254280	267740	263481	270828	268947	271401	233239	238093	235020	237464		
P24666	P24666		ACP1		177870	162980	166291	164203	168187	183196	178870	209181	170072	219978	216085	224872	176311	177047	170831	164430	172845	167993	168984	165342	162834	177673	177575	159080		
P24752	P24752		ACAT1		81612.5	82998.9	82109.8	80648.9	72783.8	75101	74943.2	73140.1	75067.5	75943.4	76225.2	77594.4	82776.1	82445.3	81606.6	84538.6	86807.8	85483.7	82976.8	85387.6	71880.4	70362.3	75318.2	73235		
P25205	P25205		MCM3		181304	178624	176443	175628	171896	178354	169603	164056	174868	153969	162157	170422	153530	148922	152483	143796	150474	144839	154217	154076	157961	158821	166033	153922		
P25398	P25398		RPS12		237773	289370	265198	227605	274636	268082	260187	211525	267795	262435	250381	253523	229562	242250	249699	233750	230727	265188	257086	239395	265972	269704	280299	267373		
P25685	P25685		DNAJB1		19534.7	23069.3	22109.7	26311.7	21751.8	26746.8	23385.8	25622.6	23415.8	25809.1	23398.2	26292.5	21090	22440.2	26208.9	20430.7	22757.9	21845.7	18783.6	20762.1	22006.3	21931.2	21222.2	20981.9		
P25690	P25690				51661.9	50286.5	59877.3	50695	62791	70301.3			56472.4																	
P25705	P25705		ATP5F1A		770101	778308	773421	748276	760392	795130	836001	826366	796819	846911	829427	832121	804799	784839	809523	790208	794939	808876	796479	818991	826574	802611	810194	826702		
P25786	P25786		PSMA1		172144	183949	174832	172646	161697	164954	165358	186093	173727	183968	183087	176070	194788	191298	200433	205060	188078	198263	200292	194634	183206	184819	183019	190848		
P25787	P25787		PSMA2		100063	94587.5	94995	96123.2	78874.8	87167	88319.2	83650.9	84920.9	93206.2	109257	99689.4	101781	94411.6	96436.2	104447	98391.2	98179.9	102098	83519.8	104504	99562	89724.5	102599		
P25788	P25788		PSMA3		140203	145075	140925	139706	142252	145761	131155	147507	132435	148582	144348	146251	141220	138373	150741	147747	147761	148732	147252	145421	138421	138152	139647	136776		
P25789	P25789		PSMA4		228941	216876	228086	221213	212334	225215	228237	295270	226777	268724	267812	261966	220936	231964	217963	221573	227032	214028	214474	210116	212942	221364	214229	223363		
P25815	P25815		S100P		289542	271380	265408	260411	285375	254505	274259	298139	285859	311171	303779	300563	286040	301347	297147	285128	297124	299360	292948	297499	278854	278024	256270	254773		
P26038	P26038		MSN		391647	379407	369191	368851	362114	377422	379016	415142	370954	424030	413116	410889	412729	416146	416780	419572	400940	428374	431470	414548	420308	425169	422798	423228		
P26368	P26368		U2AF2		80794.5	77000.3	66651	82626	80952.6	82480.9	79729.3	68249.2	75277.5	65194.7	69853.1	64368.6	69056.3	64943.9	62617.4	67019.3	70271.4	71084.4	65130.3	68492.2	93291.9	88631.7	107395	90423.7		
P26373	P26373		RPL13		458397	449725	438527	438110	465553	449258	450789	552015	439300	550152	557535	532112	506369	510896	515620	482565	512411	512957	506783	506130	465075	456582	460971	440888		
P26447	P26447		S100A4		1.80746e+06	1.77419e+06	1.81065e+06	1.70694e+06	2.10917e+06	2.13416e+06	1.98429e+06	1.98164e+06	1.92444e+06	1.93887e+06	2.0133e+06	1.89799e+06	1.89071e+06	1.94904e+06	1.88085e+06	1.88269e+06	2.03426e+06	2.01745e+06	1.90663e+06	2.02831e+06	2.20433e+06	2.26827e+06	2.17827e+06	2.1939e+06		
P26583	P26583		HMGB2		69585.3	64418.1	65151.5	56233	62333.8	66090.3	64632.3	70682.8	70344.8	61425.8	69867.3	66251.7	57346.8	60833.7	64320	59442	66093	68822.4	64516.4	60731.6	74927.2	66251	65028.4	80766.6		
